幹你娘: 髒話: 0.775572657585144, 屌你老母: 0.7581965923309326, 粗口: 0.7560597658157349, 粗話: 0.7392834424972534, 感嘆詞: 0.7087435126304626, 懶音: 0.7064943909645081, 雞巴: 0.7056534290313721, 嘆詞: 0.6996194124221802, 例句: 0.6984925866127014, 屄: 0.6948261260986328, 
關你屁事: 虞華年: 0.8556275963783264, nackle: 0.8547797799110413, dicha: 0.8531804084777832, 郭昱沂: 0.8529823422431946, 許弗朗: 0.8527882099151611, 林靜芝: 0.8519732356071472, pickers: 0.8519498109817505, 林玫伶: 0.8515565395355225, 方潤南: 0.851472795009613, wheretempo: 0.8514260053634644, 
證明力: 李瀚良: 0.7634164690971375, 言有物: 0.752200722694397, 之所及: 0.7502396702766418, 堅執: 0.7492614388465881, 如者: 0.7465570569038391, 將之術: 0.7461826801300049, 正趣: 0.7432765364646912, 苦去: 0.7428094744682312, 必謹: 0.7413088083267212, 適格: 0.7398544549942017, 
巫婆: 白雪公主: 0.7294480800628662, 姥姥: 0.7216258645057678, 驢子: 0.7178846597671509, 女巫: 0.7056076526641846, 青蛙: 0.7035746574401855, 丘比特: 0.7028013467788696, 洋娃娃: 0.7018787860870361, 樵夫: 0.6947275996208191, 糖果屋: 0.6938664317131042, 睡美人: 0.6845377683639526, 
娘娘腔: 男人婆: 0.7535519599914551, 不修邊幅: 0.7420760989189148, 乖巧: 0.7374900579452515, 調皮: 0.7321740984916687, 憨厚: 0.7309803366661072, 神經質: 0.7301262617111206, 刀子嘴: 0.7261221408843994, 少根筋: 0.7252976894378662, 胖: 0.72314453125, 調皮搗蛋: 0.7229766249656677, 
阿猴: 打貓: 0.8223272562026978, 東堡: 0.7995988130569458, 緱廳: 0.7931437492370605, 番社: 0.7886388897895813, 總爺: 0.7802088260650635, 屈尺: 0.7727853655815125, 頭社: 0.7680174112319946, 沙轆: 0.7661282420158386, 下堡: 0.7615949511528015, 哖: 0.7594961524009705, 
小孬孬: 理直氣壯: 0.7091179490089417, 不嫉妒: 0.698192834854126, 多一份: 0.6847949028015137, 口口聲聲: 0.6792739629745483, 滿不在乎: 0.6769359111785889, 誰還: 0.6767706871032715, 知不知道: 0.6734774112701416, 問心無愧: 0.6643133163452148, 死而無憾: 0.6607136726379395, 要打我: 0.6573277711868286, 
瘋婆: 黑鬥: 0.7433967590332031, 白虎星: 0.7312160730361938, 曚: 0.7267636060714722, 參娃: 0.7084276676177979, 洞賓: 0.704890251159668, 煞神: 0.7001057863235474, 憨龍: 0.699744701385498, 晚黑: 0.6974746584892273, 說生: 0.6963098645210266, 錦燈籠: 0.6926747560501099, 
怪獸: 怪物: 0.6953964233398438, 獸: 0.626055121421814, 機器人: 0.6087178587913513, 外星人: 0.5988084077835083, 哥斯拉: 0.5962176322937012, 章魚: 0.5904316902160645, 亞古獸: 0.5850449800491333, 拉頓: 0.5741463303565979, 巨獸: 0.57134610414505, 變形金剛: 0.5578184723854065, 
我操: 原任授: 0.8163968324661255, lucifuga: 0.8109017014503479, 邢嘯威: 0.8100137710571289, 王哲夫: 0.8099266290664673, 林尊賢: 0.8079053163528442, 設南淡: 0.8070023059844971, 陀北縣: 0.8060845136642456, 彭興裡: 0.8055377006530762, ȯ: 0.8049224615097046, 毒攻: 0.8043265342712402, 
壞心: 蛇姬: 0.69161057472229, 阿夜: 0.6692193746566772, 小芬: 0.6636773347854614, 酷樂: 0.6625903844833374, 魂飛魄散: 0.6609560251235962, 冰麗: 0.6590077877044678, 噴嚏: 0.6588549017906189, 阿愛: 0.6587698459625244, 姥姥: 0.6556156873703003, 舞舞: 0.6550573110580444, 
你這個混蛋: 無辜: 0.6159553527832031, 被騙: 0.5520201921463013, 吹噓: 0.5400514006614685, 強姦犯: 0.5315418839454651, 撒謊: 0.53053879737854, 受害者: 0.5281929969787598, 抓來: 0.5254741311073303, 敲詐: 0.5203059315681458, 上當: 0.520201563835144, 告密者: 0.5193047523498535, 
白賊七: 觕: 0.8305132985115051, 周明增: 0.7514021396636963, 邱於庭: 0.7472165822982788, 林小樓: 0.7439830899238586, 還巢: 0.7389177083969116, 細姨: 0.726945698261261, 邱罔舍: 0.7263540029525757, 曾亞君: 0.7241443395614624, 家有仙妻: 0.7224472165107727, 薄情郎: 0.7208578586578369, 
妓: 乞食: 0.7246533632278442, 婢: 0.7231974601745605, 優伶: 0.7097113132476807, 歌妓: 0.693657636642456, 村婦: 0.6927642822265625, 老嫗: 0.6919601559638977, 青樓: 0.6880593299865723, 女樂: 0.6867150068283081, 孌童: 0.6848019361495972, 婦人: 0.6847339868545532, 
顛倒是非: 顛倒黑白: 0.7965309619903564, 詆毀: 0.7675514221191406, 無稽: 0.7553960084915161, 妄加: 0.7347036004066467, 邪說: 0.733840823173523, 耍花招: 0.7301226854324341, 禍國: 0.7296280860900879, 毀謗: 0.7285867929458618, 人之常情: 0.7277153730392456, 倒行逆施: 0.7277102470397949, 
老鼠屎: 小象隊: 0.6923011541366577, 快問: 0.6838489770889282, 城城隊: 0.6829459071159363, 快答: 0.6762822866439819, 允菲: 0.6747003793716431, 睜眼: 0.6705713272094727, 小婕: 0.669248104095459, 乃乃隊: 0.6648966670036316, attn: 0.6625344753265381, 被噴: 0.6625150442123413, 
小流氓: 小混混: 0.7199180126190186, 阿星: 0.7087605595588684, 賭神: 0.6957930326461792, 傻大姐: 0.6868927478790283, 色狼: 0.6856272220611572, 肥貓: 0.6853538751602173, 女殺手: 0.6851975321769714, 老夫子: 0.6801162958145142, 逃學: 0.6799848079681396, 阿豪: 0.6687681078910828, 
有病: 無藥: 0.7281328439712524, 求醫: 0.7126678228378296, 病者: 0.7073506116867065, 吃藥: 0.7048778533935547, 房事: 0.7030903697013855, 叮囑: 0.7021734714508057, 裝病: 0.7006802558898926, 怪病: 0.6957915425300598, 多病: 0.6955500245094299, 惹禍: 0.694167971611023, 
譙: 沛國: 0.8909196257591248, 潁川: 0.8572901487350464, 汝南郡: 0.8472772836685181, 歷陽: 0.8463656902313232, 汝南: 0.8447133302688599, 南頓: 0.8326996564865112, 竟陵: 0.8313355445861816, 彭城: 0.828589141368866, 虞潭: 0.8279622793197632, 義陽: 0.8273352384567261, 
色狼: 七擒七縱: 0.7844668626785278, 調戲: 0.7280129194259644, 狗仔: 0.7152469158172607, 偷窺: 0.7139561176300049, 見鬼: 0.7129413485527039, 小混混: 0.7111456394195557, 傻大姐: 0.7055345177650452, 花痴: 0.7052016854286194, 嚇死: 0.7024171352386475, 勾搭: 0.7003158330917358, 
靠背: 椅背: 0.7785035371780396, 坐椅: 0.7458729147911072, 頭枕: 0.7225332260131836, 平躺: 0.7182979583740234, 企立: 0.7113324403762817, 兩扇: 0.7068524360656738, 池壁: 0.6992295980453491, 開窗: 0.6956325769424438, 窗框: 0.6940274834632874, 長凳: 0.6935218572616577, 
吃裡扒外: 吳景茂: 0.7493324279785156, 誣告罪: 0.7482643127441406, 賣假藥: 0.7462279796600342, 抹紅: 0.7364770174026489, 精雪: 0.728729248046875, 白正憲: 0.7225966453552246, 毋詩茜: 0.7154278755187988, 阿棋: 0.7132150530815125, 梅嫻: 0.7114823460578918, 人人喊打: 0.7102748155593872, 
屁: 屁股: 0.7759594917297363, 放屁: 0.7619680762290955, 嘴裡: 0.7438712120056152, 瞎: 0.7373929023742676, 嘴巴: 0.73640376329422, 刀子: 0.729910135269165, 肚子: 0.729438304901123, 很慘: 0.7233853340148926, 鼻涕: 0.7156029939651489, 鼻屎: 0.7135196924209595, 
鴛鴦大盜: 騙吃騙喝: 0.6415653228759766, 結夥: 0.6408441066741943, 酒肉朋友: 0.6388301253318787, 集偷: 0.638504147529602, 被方: 0.6382339596748352, 偷錢: 0.63728928565979, 愛咪: 0.6362711191177368, 專挑: 0.6297906041145325, 劉存亮: 0.6285086870193481, 開房間: 0.6284728050231934, 
教學不力: 檢舉人: 0.6452670693397522, 其歸為: 0.6210317611694336, 徵集令: 0.6183549165725708, 丙等: 0.610985279083252, 兩大過: 0.6056231260299683, 荒公: 0.6037485599517822, 附角: 0.6019313335418701, 並免: 0.597638726234436, 冒風險: 0.5968223810195923, 婦人之仁: 0.59358811378479, 
援交: 援助交際: 0.7636706233024597, 騙徒: 0.6716808676719666, 性侵: 0.6693515181541443, 非禮: 0.6656544804573059, 雛妓: 0.6514660120010376, 性工作者: 0.6462423205375671, 姦殺: 0.645524263381958, 陪酒: 0.6432075500488281, 性騷擾: 0.6400195360183716, 慣犯: 0.6362642049789429, 
太監: 李蓮英: 0.781233549118042, 司禮監: 0.780696451663971, 錦衣衛: 0.7718158960342407, 李連英: 0.7681304812431335, 宮女: 0.765931248664856, 和珅: 0.7656323909759521, 九門提督: 0.7520235776901245, 秉筆: 0.751009464263916, 東廠: 0.749642014503479, 衙役: 0.7488784193992615, 
死老頭: 安瑩飾: 0.7001416683197021, 景聖: 0.6834679245948792, 靖仇: 0.6796790361404419, 清達: 0.6795837879180908, 育秀: 0.6762795448303223, 媯滿: 0.6758744716644287, 玉琴: 0.6703606247901917, 韓嘯: 0.6698801517486572, 令士: 0.6681586503982544, 子慧: 0.6665749549865723, 
你去死: 李豪世: 0.6323967576026917, 八板鬱: 0.6290008425712585, 盧西烏: 0.6246477961540222, 勝冶京子: 0.6245315074920654, 雷尼克: 0.6215184926986694, 依娃族: 0.6206469535827637, 牙癢癢: 0.6177565455436707, 蕾茜兒: 0.6173416376113892, 魔戰王: 0.6162122488021851, 劉逢: 0.6155209541320801, 
發瘋: 發狂: 0.807084858417511, 精神失常: 0.7945814728736877, 性情大變: 0.7936870455741882, 慘死: 0.7856385707855225, 萬念俱灰: 0.7770413756370544, 痛不欲生: 0.7730147838592529, 見死不救: 0.7624004483222961, 家破人亡: 0.7617507576942444, 未死: 0.7613117694854736, 毀容: 0.7545650601387024, 
北七: 嘉福榮: 0.6451575756072998, 方數: 0.6378424167633057, 楊妙: 0.6306935548782349, 劍車: 0.6296377778053284, 那步: 0.6273205280303955, 五祖七真: 0.6201215982437134, 寧長: 0.618524432182312, 裴守: 0.6183849573135376, 古話: 0.6175683736801147, 李抱: 0.6164848804473877, 
沒禮貌: 英愛: 0.8603774309158325, 李寶英: 0.6783297061920166, 南政基: 0.6750633716583252, 安在旭: 0.6709994077682495, 尹瑞賢: 0.6701033115386963, 吳賢慶: 0.666539192199707, 鄭麗媛: 0.6642028093338013, 白珍熙: 0.6630992889404297, 智英: 0.6590983271598816, 朱鎮模: 0.6584828495979309, 
為富不仁: 赤包: 0.7694932818412781, 貪斂: 0.7671856880187988, 盜心: 0.7554007768630981, 寡廉鮮恥: 0.7503732442855835, 假仁假義: 0.7480539083480835, 衣冠禽獸: 0.7450958490371704, 收息: 0.7388088703155518, 褻玩: 0.7379188537597656, 譏嘲: 0.7373392581939697, 非儒: 0.73628830909729, 
流浪漢: 扒手: 0.7029721736907959, 小偷: 0.7007812261581421, 混混: 0.6567296981811523, 惡霸: 0.6544504165649414, 騙子: 0.6531051397323608, 癮君子: 0.6476726531982422, 男妓: 0.6231045126914978, 乞丐: 0.6224271059036255, 理髮師: 0.620913028717041, 看門人: 0.6206730008125305, 
自編自導自演: 文藝片: 0.7629637718200684, 賀歲片: 0.7534904479980469, 自導自演: 0.7432636022567749, 合演: 0.7411344051361084, 接拍: 0.734497606754303, 彭浩翔: 0.7132977247238159, 自編自演: 0.7118000984191895, 少林足球: 0.710868239402771, 愛情喜劇: 0.7101109027862549, 烈日當空: 0.7097458839416504, 
妻奴: 妻編: 0.7370703220367432, 芸能: 0.7010873556137085, 隷: 0.6634058952331543, 公設辯護: 0.6614527702331543, 牝奴: 0.6589140892028809, 法定代理: 0.6451021432876587, 肉奴: 0.6411519646644592, 花盜: 0.6365981101989746, 池田直: 0.6211481094360352, 柿澤勇: 0.6149454116821289, 
閉嘴: 小聲: 0.660943865776062, 聽聽: 0.650842547416687, 幹什麼: 0.6357760429382324, 叫喊: 0.6352369785308838, 試試: 0.6297892332077026, 會想: 0.6282863616943359, 不好意思: 0.6272177696228027, 點頭: 0.6266462802886963, 大聲: 0.6255433559417725, 耳邊: 0.6241596937179565, 
瘋人: 銷魂: 0.667523980140686, 奇情: 0.65212482213974, 迷魂: 0.6440910696983337, 迷離: 0.6370913982391357, 勾魂: 0.6366560459136963, 猛鬼: 0.6346691846847534, 紅粉: 0.6320904493331909, 虎穴: 0.6308591365814209, 迷情: 0.6290027499198914, 驚變: 0.626488447189331, 
衣冠禽獸: 不留餘地: 0.858553409576416, 根苗: 0.8433046936988831, 十艷戀: 0.8380812406539917, 如鼠: 0.8377110958099365, 雖著: 0.8366476893424988, 相尋: 0.8362401723861694, 四棘: 0.8345627188682556, 洞明: 0.8341072797775269, 無若: 0.8334623575210571, 妙諜: 0.831680178642273, 
吐口水: 打他: 0.8081350326538086, 腳踢: 0.7807878255844116, 拳打腳踢: 0.7782195806503296, 拳打: 0.7717193365097046, 大罵: 0.7678325176239014, 追打: 0.763904333114624, 作勢: 0.7584158182144165, 洩憤: 0.7539966106414795, 揮拳: 0.7500160336494446, 辱罵: 0.7436608076095581, 
胡搞: 信口雌黃: 0.7403826713562012, 瞎搞: 0.734180212020874, 髒字: 0.727894127368927, 姦恁娘: 0.716343879699707, 肏你媽: 0.7155150175094604, 屌你老母: 0.7116760015487671, 龜兒子: 0.7089235782623291, 逗笑: 0.7068333625793457, 雞巴: 0.7061702013015747, 矯枉過正: 0.7059093713760376, 
蛤蟆精: 陸壓: 0.8258679509162903, 張天君: 0.8191335797309875, 鐵臣: 0.8156100511550903, 暗夜絕: 0.81101393699646, 鬼厭: 0.8068915605545044, 伏龍鼎: 0.8067283630371094, 還母: 0.8052816390991211, 常玉詩: 0.8052589893341064, 成不憂: 0.8021833896636963, 關安基: 0.8012336492538452, 
混帳東西: cjshs: 0.7747440338134766, 前細瓦廠: 0.7735886573791504, 徐謙任: 0.7717133164405823, 雜子: 0.7715763449668884, 丁家崗: 0.7714555859565735, jsoc: 0.7706881761550903, 棲柵: 0.7687699794769287, 朱維斌: 0.7682526111602783, 外喀爾: 0.7679815292358398, 林尊賢: 0.7678157091140747, 
啞巴: 瞎子: 0.7396160364151001, 糊塗: 0.7231162786483765, 老伯: 0.720608115196228, 小翠: 0.7051733732223511, 小燕子: 0.7024023532867432, 桃花運: 0.6974080204963684, 小倩: 0.6970676183700562, 武大郎: 0.6917357444763184, 阿妹: 0.6898849010467529, 浪子回頭: 0.689737856388092, 
喪盡天良: 烹屍: 0.7811752557754517, 賤人: 0.7077349424362183, 童黨: 0.6943759918212891, 知法犯法: 0.6939773559570312, 貪錢: 0.6869968175888062, 小心眼: 0.6839248538017273, 單身貴族: 0.6794970035552979, 艷鬼: 0.6742229461669922, 郭錦恩: 0.6738488674163818, 八姑: 0.6705535650253296, 
賣春: 性奴: 0.7056916356086731, 賣淫: 0.6865953207015991, 誘拐: 0.6512728929519653, 性交易: 0.6287332773208618, 援交: 0.6273156404495239, 性騷擾: 0.6265034675598145, 性奴隸: 0.6185601949691772, 家庭暴力: 0.6185195446014404, 家暴: 0.617860734462738, 娼妓: 0.6135233640670776, 
讓你死: 納祖爾省: 0.8301758766174316, 齊藤寬: 0.8286700248718262, 王氏宅: 0.8272659778594971, 粵發: 0.8271933197975159, 內階四: 0.8262054324150085, 豆藏: 0.8241491317749023, 石垣毅: 0.823549747467041, 聟: 0.8222521543502808, 泰萊薩: 0.8215314149856567, 內田常雄: 0.8213092088699341, 
母狗: 藍眼睛: 0.6492145657539368, 丘比特: 0.6339879035949707, 小兔子: 0.6287190914154053, 的豬: 0.625677227973938, 母雞: 0.6201276779174805, 大狗: 0.6167721748352051, 和貓: 0.6147199869155884, 臘腸犬: 0.6133116483688354, 盲眼: 0.6122658252716064, 驢子: 0.6116748452186584, 
卒子: 紙老虎: 0.5063856840133667, 鬍子: 0.4698730707168579, 硬是: 0.4627380073070526, 揹: 0.4623483419418335, 兩頭: 0.4604790210723877, 牛鬼蛇神: 0.45990613102912903, 小卒: 0.45897209644317627, 老百姓: 0.45345067977905273, 打著: 0.44900089502334595, 順手: 0.44867974519729614, 
奸: 奸邪: 0.8462625741958618, 辱: 0.8361276984214783, 忿: 0.8269436359405518, 慝: 0.823861837387085, 誣: 0.821114718914032, 欺: 0.8101003170013428, 冤: 0.8082288503646851, 恃: 0.7982271313667297, 妄: 0.7966904640197754, 懼: 0.7959509491920471, 
幼稚: 我行我素: 0.748436450958252, 膚淺: 0.7414765357971191, 自我中心: 0.7411369681358337, 固執: 0.7379724979400635, 直率: 0.7313582301139832, 無趣: 0.729231059551239, 率直: 0.7262409925460815, 過分: 0.7251313924789429, 不在乎: 0.7223781943321228, 輕浮: 0.7215938568115234, 
愛說謊: 基嫚: 0.7311645746231079, 姬妲: 0.6981689929962158, 基德曼: 0.6967244744300842, 蜜琪: 0.6790121793746948, 阿絲: 0.6731061935424805, 黛特: 0.6727581024169922, 培裡亞: 0.6712413430213928, 江猛: 0.671012818813324, 茱麗: 0.6694836616516113, 賽西莉: 0.6634796857833862, 
肏: 俗作: 0.7452815175056458, 恁娘: 0.7224248647689819, 姦恁娘: 0.7180296182632446, 屌你老母: 0.716127872467041, 䃍: 0.7141190767288208, 礧: 0.7137998342514038, implosive: 0.706607460975647, 倷: 0.7055940628051758, phoi: 0.7054792642593384, 好靚: 0.7045212984085083, 
搶錢: 橫財: 0.6488387584686279, 俏嬌娃: 0.6415227055549622, 盛女: 0.6412397623062134, 一屋: 0.6368274688720703, 謎情: 0.6348536610603333, 落跑: 0.6265008449554443, 吳樂仁: 0.6228468418121338, 龍哥: 0.6160290837287903, 男兒本色: 0.6130349636077881, 文健輝: 0.6091747283935547, 
歇斯底里: 病態: 0.7999834418296814, 亢奮: 0.7799571752548218, 焦慮: 0.7559152841567993, 躁動: 0.7536115646362305, 呆滯: 0.751214861869812, 抑鬱: 0.7505887746810913, 易怒: 0.7479103207588196, 頹廢: 0.7473911046981812, 噁心: 0.741416335105896, 難以忍受: 0.7411712408065796, 
啃老族: 隔壁鄰居: 0.6051160097122192, 對西迪: 0.5934793949127197, 過動兒: 0.5933734774589539, 女主管: 0.5722488164901733, 阿姨: 0.5706822872161865, 他哥: 0.5694806575775146, 蹺課: 0.5684085488319397, 花爸: 0.5646023750305176, 祈耀: 0.5644615888595581, 直矢: 0.5612912178039551, 
悍婦: 潘巧雲: 0.7991350889205933, 李青蘿: 0.7822040915489197, 商老太: 0.7785540819168091, 衛璧: 0.7771546840667725, 秦紅棉: 0.7765840888023376, 薛一娘: 0.7757911682128906, 甘寶寶: 0.7743436098098755, 阮星竹: 0.7729640007019043, 關效宇: 0.769586980342865, 戚秦氏: 0.7675855159759521, 
超爛: 沈玉琳: 0.5476645231246948, 無釐頭: 0.5369060039520264, 好生: 0.5174747109413147, 搏: 0.5165914297103882, 乃哥: 0.5156977772712708, 白目: 0.5154023766517639, 省錢: 0.49965527653694153, 難搞: 0.4944601058959961, 暗諷: 0.4939830005168915, 賺大錢: 0.49331700801849365, 
野蠻: 瘋狂: 0.580869197845459, 愚笨: 0.5770025849342346, 冷血: 0.5745995044708252, 殘酷: 0.5728988647460938, 壞: 0.5568723678588867, 愚昧: 0.556108832359314, 異想天開: 0.5477402210235596, 愚蠢: 0.5445206165313721, 守株: 0.5353371500968933, 惡毒: 0.5333819389343262, 
耍賴: 囂張: 0.647598385810852, 順眼: 0.6475098133087158, 要打: 0.6443765163421631, 看不過眼: 0.6259315609931946, 耍: 0.624482274055481, 動怒: 0.6200070381164551, 客氣: 0.6197333335876465, 打人: 0.6191413402557373, 逗樂: 0.6135664582252502, 打架: 0.6113115549087524, 
吃人夠夠: 惡人先告狀: 0.7166656255722046, 欺人太甚: 0.7136635780334473, 紀萬生: 0.7105758190155029, 絕無此事: 0.6977288126945496, 瞎話: 0.6972067356109619, 拍桌: 0.6960034966468811, 金恆煒: 0.6866101622581482, 特殊性關係: 0.6808696985244751, 林昶佐則: 0.6780170202255249, 絕未: 0.6751353740692139, 
渣: 發爛: 0.6738652586936951, 望子: 0.5965722799301147, 克福: 0.5632020235061646, 拔絲: 0.5558695793151855, 刨: 0.5501766204833984, 禾寧頓: 0.5490993857383728, 貫峰: 0.5455772876739502, 拔斯: 0.5359364748001099, 滋滋: 0.5358948111534119, 乸: 0.5345881581306458, 
施強暴: famousbro: 0.8467763662338257, 恕己: 0.8304499387741089, vitrinidae: 0.8264463543891907, thysanophoridae: 0.8259173631668091, fahed: 0.8244244456291199, 柳腔: 0.8239609003067017, alvensleben: 0.8237792253494263, mycloud: 0.8216978311538696, testacellidae: 0.8210561275482178, polygyridae: 0.8209450840950012, 
死定了: 氣定神閒: 0.7285629510879517, 那幫: 0.724561333656311, 幹嗎: 0.7231705188751221, 來問: 0.7198296189308167, 氣話: 0.7189009189605713, 地問: 0.7181178331375122, 問一問: 0.713791012763977, 好啊: 0.7071542739868164, 太高興: 0.7050254344940186, 引他: 0.7014075517654419, 
亂搞: 推給: 0.7392477989196777, 推脫: 0.7093425393104553, 要錢: 0.7023922801017761, 做錯事: 0.6915483474731445, 搪塞: 0.6913882493972778, 討回公道: 0.6898068189620972, 敷衍: 0.6884603500366211, 發脾氣: 0.6876406669616699, 責怪: 0.6873088479042053, 推卸責任: 0.6869163513183594, 
你打我: 語氣詞: 0.6833915710449219, 例句: 0.6779448986053467, 嘆詞: 0.668951690196991, yaku: 0.6679457426071167, siw: 0.667739748954773, 語助詞: 0.6590253114700317, 否定詞: 0.6562583446502686, 語氣助詞: 0.6545442342758179, 感嘆詞: 0.6497272253036499, 句末: 0.6475608348846436, 
賴皮: 黑輪: 0.6873939037322998, 臭屁: 0.6790949106216431, 薯泥: 0.6721568703651428, 雞姐: 0.6634783744812012, 尚青: 0.6625787019729614, 臭臭: 0.6625577211380005, 小胖: 0.660116970539093, 牙牙: 0.6536833643913269, 阿虎: 0.6503125429153442, 搞鬼: 0.6501188278198242, 
淫婦: 何西: 0.7109283208847046, 預言者: 0.6839786171913147, 拜偶像: 0.6814329624176025, 阿書: 0.6800883412361145, 姦夫: 0.6707922220230103, 罪人: 0.666042685508728, 罪孽: 0.6644985675811768, 耶戶: 0.6581628918647766, 所羅門王: 0.6569342613220215, 奴僕: 0.6562316417694092, 
屌你老母: 閪: 0.835655689239502, 你老母: 0.8250280618667603, 俗作: 0.8001728653907776, 倷: 0.7877182960510254, 姦恁娘: 0.7672247886657715, 肏你媽: 0.7633152008056641, 幹你娘: 0.7581965923309326, 屄: 0.7557164430618286, 俗寫: 0.7545797228813171, 㞗: 0.7495642900466919, 
很賤: 神拳門: 0.6282616257667542, 全國臺聯: 0.6016204357147217, 高瓴: 0.6002200841903687, 王長喜: 0.5989013910293579, 湯家耀: 0.5907366275787354, 陳永正: 0.5870786905288696, 秦英林: 0.5868543982505798, 天不怕: 0.5837675333023071, 蔡鎮宇: 0.5824402570724487, 許鳴: 0.5787630081176758, 
自私自利: 貪財: 0.8727339506149292, 勢利: 0.8632792234420776, 心胸狹窄: 0.85700523853302, 吝嗇: 0.8483670949935913, 多疑: 0.8445398211479187, 膽小怕事: 0.8410492539405823, 怕事: 0.8386673331260681, 厚道: 0.8352072238922119, 奸詐: 0.8339338302612305, 工於心計: 0.8329119682312012, 
醜女人: 拐拐: 0.692700982093811, 蕭柏智: 0.688422679901123, 蘇霈: 0.667693018913269, 餘佳臻: 0.6670974493026733, 小璇: 0.6665495038032532, 曼曼: 0.6663426160812378, 雨潔: 0.6654666662216187, 猜不透: 0.665236234664917, 康淨淳: 0.6638489365577698, 王舒婷: 0.6599061489105225, 
肥: 湯時: 0.6113792657852173, 蔥: 0.5985239148139954, 蒲燒: 0.5934867858886719, 蒸熟: 0.5913628339767456, 黑毛: 0.5854002237319946, 熟: 0.5838384628295898, 桔: 0.57319176197052, 豆子: 0.5690666437149048, 涼: 0.5671748518943787, 燒熟: 0.5665549635887146, 
偽君子: 徹頭徹尾: 0.7732502222061157, 偽善: 0.7697685956954956, 刻薄: 0.7569155693054199, 粗鄙: 0.7560604810714722, 唯利是圖: 0.7552211880683899, 貪財: 0.7546802163124084, 淫蕩: 0.7495213747024536, 無恥: 0.7489550113677979, 迂腐: 0.7475857734680176, 不學無術: 0.7449175119400024, 
肥豬王: 何金靈: 0.6814484596252441, 鄭英龍: 0.6772769689559937, 聶萬龍: 0.666551411151886, 紀先勇: 0.6663996577262878, 宋一虎: 0.6583554744720459, 林仲岐: 0.6561329960823059, 卓峰: 0.6552086472511292, 許文坤: 0.654840350151062, 霸迪: 0.6537075638771057, 秦可情: 0.6534601449966431, 
淦: 駱應: 0.7148913145065308, 莫家: 0.7067421674728394, 永義: 0.6956212520599365, 招重文: 0.6775664687156677, 譚兆偉: 0.6764531135559082, 何毅: 0.6758204698562622, 巴貝利: 0.656600296497345, 潘文迪: 0.6551502346992493, 亞古沙: 0.6495946049690247, 陳旭智: 0.64765864610672, 
扁你: 孫鐵妹: 0.7892167568206787, 潮崎渚: 0.7768387794494629, 齊梓聰: 0.7765278220176697, 莊淑屏: 0.7704763412475586, 阿崩: 0.769507884979248, tazungan: 0.7664413452148438, 莊紅杏: 0.7623212337493896, 芳如: 0.7619212865829468, 路威: 0.7592551708221436, 楊宗勉: 0.7592471837997437, 
違法亂紀: 失職: 0.787077784538269, 濫權: 0.7711371183395386, 瀆職: 0.7710980176925659, 貪腐: 0.7643288969993591, 濫用權力: 0.7566445469856262, 貪瀆: 0.7511501312255859, 嚴懲: 0.740883469581604, 縱容: 0.7359676957130432, 黨紀: 0.7345060706138611, 罪刑: 0.7333944439888, 
缺德: 小器: 0.5958727598190308, 禽獸: 0.5907544493675232, 白目: 0.5901870727539062, 勢利: 0.5827195048332214, 畜牲: 0.5811026096343994, 貪財: 0.5804815292358398, 口口聲聲: 0.5776983499526978, 吝嗇: 0.5768672227859497, 貪小便宜: 0.5746246576309204, 厚道: 0.5718289017677307, 
虛偽: 偽善: 0.8005057573318481, 蔑視: 0.7576954364776611, 憎惡: 0.7445076704025269, 愚昧: 0.7363573908805847, 無知: 0.7320537567138672, 陳腐: 0.7223203182220459, 藐視: 0.7176331281661987, 迂腐: 0.7101202011108398, 偏激: 0.7079075574874878, 赤裸裸: 0.7072639465332031, 
你幹什麼: sylv: 0.8664294481277466, entretiens: 0.865999162197113, 帕利斯: 0.8645896911621094, realit: 0.8617243766784668, 通虜: 0.8593041896820068, 遠棄: 0.8578073978424072, 劉壽斌: 0.8577864766120911, 合城社: 0.857227087020874, cockasian: 0.8569265604019165, gabrielskirche: 0.8568917512893677, 
自私: 自私自利: 0.8138614892959595, 自我中心: 0.8062425851821899, 狡猾: 0.8000389337539673, 同情心: 0.7884325981140137, 懶惰: 0.7880881428718567, 憤世嫉俗: 0.7865455746650696, 貪婪: 0.7802222371101379, 固執: 0.77992844581604, 唯利是圖: 0.7797845602035522, 冷酷無情: 0.7747297286987305, 
怪咖: 女老師: 0.6859225630760193, 小愛的: 0.6736207008361816, 帥哥: 0.6653639674186707, 搗蛋: 0.6620393991470337, 猛男: 0.6580960750579834, 愛哭鬼: 0.6450166702270508, 花痴: 0.6445667743682861, 保母: 0.6436428427696228, 老爸: 0.6396557688713074, 辣妹: 0.6374511122703552, 
欺人太甚: 一堆垃圾: 0.754602313041687, 並無不當: 0.750043511390686, 不樂意: 0.7340632081031799, 瞎話: 0.7293154001235962, 人各有志: 0.7257870435714722, 支支吾吾: 0.7241542339324951, 虛心接受: 0.7235300540924072, 五十步笑百步: 0.7233606576919556, 蠢得: 0.722190797328949, 惡人先告狀: 0.7190442085266113, 
